fips,name,population,area,age,high_school,bach_degree,adv_degree,unemploy,hh_income,rent,inc_male_15_w,inc_female_15_w,region
26001,Alcona,11238,674.5854,54.3,0.843113102,0.123740202,0.064837626,0.152131783,34858,545,36842,28986,central
26003,Alger,9604,915.0695,46.4,0.861793029,0.169130612,0.062118541,0.107972545,38262,522,48694,32125,upper
26005,Allegan,111385,825.2308,38.1,0.889129363,0.193811298,0.078981974,0.082315985,50240,645,45746,33739,south
26007,Alpena,29958,571.86,44.7,0.875709128,0.155094003,0.091893666,0.09865753,36695,479,44434,30285,central
26009,Antrim,23975,475.7026,46.3,0.895334101,0.232949309,0.123156682,0.123681339,43123,663,41885,30281,central
26011,Arenac,16487,363.1912,45.7,0.814053696,0.106065628,0.045409347,0.128299224,36689,492,37500,28171,central
26013,Baraga,8882,898.257,42.3,0.821511002,0.114171411,0.046930297,0.10745098,40541,496,39577,33232,upper
26015,Barry,59576,553.0915,39.9,0.905097492,0.165500411,0.086236522,0.091673234,51869,652,46134,35480,south
26017,Bay,108156,442.3023,41.2,0.87368901,0.179769856,0.073576353,0.095304174,44659,556,45233,33019,south
26019,Benzie,17705,319.7035,44.7,0.898507463,0.25247447,0.138884525,0.117183034,44718,737,39194,32832,central
26021,Berrien,157232,567.7469,40.3,0.866474896,0.23291689,0.120373765,0.103651898,42625,592,46821,32029,south
26023,Branch,46083,506.3687,39.1,0.866332364,0.141077645,0.062569868,0.111437094,42133,609,40391,30905,south
26025,Calhoun,137112,706.2332,38.4,0.870793071,0.188296538,0.08588849,0.115277673,42568,642,43897,34841,south
26027,Cass,52429,490.0616,41.4,0.852314597,0.157880156,0.065240879,0.094128575,45177,634,44293,33354,south
26029,Charlevoix,26228,416.3391,44.2,0.911002102,0.244784648,0.139453399,0.094959934,48704,587,44098,32346,central
26031,Cheboygan,26699,715.2641,45.7,0.882395644,0.178014001,0.10116671,0.181228997,37903,585,39500,27312,central
26033,Chippewa,39078,1558.42,39.1,0.880373901,0.180014095,0.081827961,0.119306959,40194,541,41592,31138,upper
26035,Clare,31162,564.3153,44.7,0.82632367,0.102763033,0.052538451,0.171196069,34399,586,39836,28221,central
26037,Clinton,74235,566.4084,37.9,0.929550758,0.272399567,0.138398066,0.06881912,58016,746,53013,42237,south
26039,Crawford,14325,556.2798,46.1,0.842954567,0.141484968,0.057823456,0.150451189,39665,629,41062,28178,central
26041,Delta,37403,1171.096,44.5,0.90550531,0.186550081,0.075618268,0.091231571,41951,522,48605,31472,upper
26043,Dickinson,26584,761.4005,44.6,0.921749259,0.179002541,0.077774248,0.07717913,42586,508,44760,30882,upper
26045,Eaton,108002,575.1747,39.3,0.924106279,0.243316099,0.109831624,0.081941996,54885,714,50737,41033,south
26047,Emmet,32806,467.4939,41.9,0.927780474,0.294922133,0.149247805,0.093111023,49235,713,44930,32659,central
26049,Genesee,433054,636.9774,37.6,0.881450852,0.190443652,0.088635371,0.142826886,43483,662,51165,36206,south
26051,Gladwin,26076,501.7789,46.5,0.842450534,0.111205163,0.053539308,0.125095274,37936,542,41680,30889,central
26053,Gogebic,16471,1101.849,46.2,0.90211039,0.185714286,0.059090909,0.096971381,33673,497,40052,28976,upper
26055,Grand Traverse,86061,464.3311,40.5,0.92778861,0.288879177,0.140539905,0.082119827,50647,793,45512,32439,central
26057,Gratiot,42612,568.4636,38,0.870117362,0.134627047,0.066100667,0.116102744,40114,596,41195,30181,south
26059,Hillsdale,47033,598.1334,39.7,0.865894574,0.141718821,0.082069811,0.112641815,42989,607,40725,30453,south
