MID,DISCIPL,EIN,CO_LOC_RES,NTEEC,DUNS,NAICS,COMMONNAME,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,IRS_ZIP15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5,BMF15_F,IMLSAD_F,PFND_F,FCT3P_F,USER_F,UNI_F,OTHER_F,SOURCE
8400100026,ART,631162561, ,A51,121013382,712110,MOBILE MUSEUM OF ART,THE MOBILE MUSEUM OF ART INC, ,THE MOBILE MUSEUM OF ART INC,4850 MUSEUM DR,MOBILE,AL,36689-0426,36689,4850 MUSEUM DR,MOBILE,AL,36689-0426,36689,2512085200,HTTP://WWW.MOBILEMUSEUMOFART.COM/,THE MOBILE MUSEUM OF ART INC,201409,6,3749971,3668329,4850 MUSEUM DR,MOBILE,AL,36608-1917,199602, , , , ,-88.15462,30.70401,3,5,1,01,097,4850 MUSEUM DR,MOBILE,AL,36689-0426,36689,1,1,0,0,0,0,0, 
8400100029,ART,636049847, ,A51,075471300,712110,MONTGOMERY MUSEUM OF FINE ARTS,MONTGOMERY MUSEUM OF FINE ARTS ASSOCIATION, , ,ONE MUSEUM DRIVE,MONTGOMERY,AL,36117,36123,ONE MUSEUM DRIVE,MONTGOMERY,AL,36117,36117,3342404333,HTTP://MMFA.ORG/,MONTGOMERY MUSEUM OF FINE ARTS ASSOCIATION,201309,6,2796070,2759203,1 MUSEUM DR,MONTGOMERY,AL,36117-4600,195109, , , , ,-86.2087,32.3526,3,5,1,01,101,ONE MUSEUM DRIVE,MONTGOMERY,AL,36117,36117,1,1,0,0,0,0,0, 
8400100036,HST,631106693, ,A80,140201547,712110,HISTORY MUSEUM OF MOBILE,MOBILE MEDICAL MUSEUM INC, , ,111 SOUTH ROYAL STREET,MOBILE,AL,36602-2315,36602, , , , , ,2512087569, ,MOBILE MEDICAL MUSEUM INC,201312,2,20453,20453,1664 SPRING HILL AVE,MOBILE,AL,36604-1405,199404, , , , ,-88.07704,30.69234,3,5,1,01,097,1664 SPRING HILL AVE,MOBILE,AL,36604-1405,36604,1,1,0,0,0,0,0, 
8400100037,BOT, ,ART MUSEUM, , , ,JASMINE HILL GARDENS AND OUTDOOR MUSEUM,JASMINE HILL GARDENS AND OUTDOOR MUSEUM, , ,3001 JASMINE HILL RD,WETUMPKA,AL,36093,36093, , , , , ,3342635713,HTTP://WWW.JASMINEHILL.ORG, , , , , , , , , , , , , , ,-86.1874,32.49562,3,5,4,01,051,3001 JASMINE HILL RD,WETUMPKA,AL,36093,36093,0,0,0,1,0,0,0, 
8400100045,ART, , , ,804569858, ,JAN DEMPSEY ARTS CENTER,JAN DEMPSEY ARTS CENTER, , ,222 E DRAKE AVE,AUBURN,AL,36830,36830, , , , , ,3345012963, , , , , , , , , , , , , , , ,-85.4782,32.61408,3,5,1,01,081,222 E DRAKE AVE,AUBURN,AL,36830,36830,0,0,0,1,0,0,0, 
8400100046,BOT, , , , , ,HUNTSVILLE BOTANICAL GARDEN,HUNTSVILLE BOTANICAL GARDEN, , ,3737 BOB WALLACE AVE,HUNTSVILLE,AL,35805,35805, , , , , ,2568304447, , , , , , , , , , , , , , , ,-86.61819,34.71282,3,5,1,01,089,3737 BOB WALLACE AVE,HUNTSVILLE,AL,35805,35805,0,1,0,0,0,0,0, 
8400100056,HST,631135382, ,A54, ,712110,HANK WILLIAMS SENIOR BOYHOOD HOME AND MUSEUM,HANK WILLIAMS MUSEUM AND FESTIVAL INC, ,HANK WILLIAMS MUSEUM AND FESTIVAL INC,127 ROSE ST,GEORGIANA,AL,36033,36033,127 ROSE STREET,GEORGIANA,AL,36033,36033,3343762396,HTTP://WWW.HANKMUSEUM.COM/HOME/,HANK WILLIAMS MUSEUM AND FESTIVAL INC,201409,3,71987,15228,PO BOX 310,GEORGIANA,AL,36033-0310,199510, , , , ,-86.74566,31.65737,3,5,4,01,013,127 ROSE STREET,GEORGIANA,AL,36033,36033,1,1,0,0,0,0,0, 
8400100065,ART, , , ,876474545, ,FAYETTE ART MUSEUM,FAYETTE ART MUSEUM, , ,530 TEMPLE AVENUE NORTH,FAYETTE,AL,35555-2211,35555,203 TEMPLE AVE N,FAYETTE,AL,35555-2211,35555,2059328727, , , , , , , , , , , , , , , ,-87.83088,33.68726,3,5,3,01,057,203 TEMPLE AVE N,FAYETTE,AL,35555-2211,35555,0,1,0,0,0,0,0, 
8400100086,ART, , , ,016390977, ,ALABAMA FOLK ART MUSEUM,ALABAMA FOLK ART MUSEUM, , ,1731 1ST AVE N,BIRMINGHAM,AL,35203,35203, , , , , ,2053214929,HTTP://WWW.ARTFOLKGALLERY.ORG, , , , , , , , , , , , , , ,-86.80921,33.51275,3,5,1,01,073,1731 1ST AVE N,BIRMINGHAM,AL,35203,35203,0,0,0,1,0,0,0, 
8400100094,HST,200889261, ,A54,014503037,712110,BIRMINGHAM HISTORY CENTER,BIRMINGHAM HISTORY CENTER, , ,1731 1ST AVE N STE 120,BIRMINGHAM,AL,35203,35203,1807 THIRD AVENUE NORTH,BIRMINGHAM,AL,35203,35203,2052024146,HTTP://WWW.BIRMINGHAMHISTORYCENTER.ORG/,BIRMINGHAM HISTORY CENTER,201312,4,188366,188366,310 18TH ST N STE 401,BIRMINGHAM,AL,35203-3134,200404, , , , ,-86.80949,33.51496,3,5,1,01,073,1807 THIRD AVENUE NORTH,BIRMINGHAM,AL,35203,35203,1,0,1,0,0,0,0, 
