MID,DISCIPLINE,EIN,CO_LOC_RES,NTEEC,DUNS,NAICS,COMMONNAME,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,IRS_ZIP15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5,BMF15_F,IRS990_F,IMLSAD_F,PFND_F,FCT3P_F,USER_F,UNI_F,OTHER_F,SOURCE
8400100001,GMU, , , , , ,WESTERVELT-WARNER MUSEUM OF AMERICAN ART,WESTERVELT WARNER MUSEUM, , ,8316 MOUNTBATTEN RD NE,TUSCALOOSA,AL,35406,35406, , , , , ,2055625280,HTTP://TUSCALOOSAMOA.ORG/, , , , , , , , , , , , , , ,-87.5051,33.29531,3,5,4,01,125,8316 MOUNTBATTEN RD NE,TUSCALOOSA,AL,35406,35406,0,0,0,0,1,0,0,0, 
8400100002,GMU,630589651, ,A11, ,813219,U. S. ARMY AVIATION MUSEUM,ARMY AVIATION MUSEUM FOUNDATION INC, , ,6000 NOVOSEL ST,FORT RUCKER,AL,36362,36362, , , , , ,3345982508, ,ARMY AVIATION MUSEUM FOUNDATION INC,201409,4,406078,256287,PO BOX 620610,FORT RUCKER,AL,36362-0610,197101, , , , ,-85.71978,31.34936,3,5,4,01,045,PO BOX 620610,FORT RUCKER,AL,36362-0610,36362,1,0,0,0,1,0,0,0, 
8400100004,GMU,631265839, ,A11, ,541710,U.S. SPACE & ROCKET CENTER,U.S. SPACE & ROCKET CENTER FOUNDATION, , ,ONE TRANQUILITY BASE,HUNTSVILLE,AL,35807,35807,ONE TRANQUILITY BASE,HUNTSVILLE,AL,35807,35807,2568373400,HTTP://ROCKETCENTER.COM/,U S SPACE & ROCKET CENTER FOUNDATION,201309,6,2022595,2022595,1 TRANQUILITY BASE,HUNTSVILLE,AL,35805-3371,200203, , , , ,-86.62841,34.7138,3,5,2,01,089,ONE TRANQUILITY BASE,HUNTSVILLE,AL,35807,35807,1,0,1,0,0,0,0,0, 
8400100005,GMU, , , , , ,WELLBORN MUSCLECAR MUSEUM,WELLBORN MUSCLECAR MUSEUM, , ,124 BROAD ST,ALEXANDER CITY,AL,35010,35010, , , , , ,2563298474,HTTP://WELLBORNMUSCLECARMUSEUM.COM, , , , , , , , , , , , , , ,-85.95541,32.94394,3,5,3,01,123,124 BROAD ST,ALEXANDER CITY,AL,35010,35010,0,0,0,0,1,0,0,0, 
8400100007,GMU, , , , , ,USS ALABAMA BATTLESHIP,USS ALABAMA BATTLESHIP COMMISSION, , ,2703 BATTLESHIP PKWY,SPANISH FORT,AL,36527,36527,2703 BATTLESHIP PKWY,MOBILE,AL,36527,36527,2514332703,HTTP://WWW.USSALABAMA.COM, , , , , , , , , , , , , , ,-88.04483,30.69095,3,5,2,01,097,2703 BATTLESHIP PKWY,MOBILE,AL,36527,36527,0,0,0,0,1,0,0,0, 
8400100010,GMU,630852981, ,A82, , ,THREE NOTCH MUSEUM,THE COVINGTON HISTORICAL SOCIETY INC, , ,HISTORIC CENTRAL ST,ANDALUSIA,AL,36420,36420, , , , , ,3342220674,HTTP://WWW.3NMSM.COM/,THE COVINGTON HISTORICAL SOCIETY INC,201301,0,0,0,PO BOX 1582,ANDALUSIA,AL,36420-1227,198310, , , , ,-86.48793,31.30243,3,5,3,01,039,PO BOX 1582,ANDALUSIA,AL,36420-1227,36420,1,0,0,0,1,0,0,0, 
8400100012,GMU, , , , , ,SPRINGVILLE MUSEUM,SPRINGVILLE MUSEUM, , ,6496 US HIGHWAY 11,SPRINGVILLE,AL,35146,35146, , , , , ,2054672339, , , , , , , , , , , , , , , ,-86.46785,33.77722,3,5,3,01,115,6496 US HIGHWAY 11,SPRINGVILLE,AL,35146,35146,0,0,0,0,1,0,0,0, 
8400100013,GMU, , , ,175048706, ,THOMAS BASS MUSEUM,THOMAS BASS MUSEUM, , ,1129 MONTEVALLO RD,LEEDS,AL,35094,35094,1129 MONTEVALLO ROAD SOUTHWEST,LEEDS,AL,35094,35094,2056992721, , , , , , , , , , , , , , , ,-86.56749,33.53302,3,5,4,01,073,1129 MONTEVALLO ROAD SOUTHWEST,LEEDS,AL,35094,35094,0,0,0,0,1,0,0,0, 
8400100014,GMU, , , , , ,SAMUEL ULLMAN MUSEUM,SAMUEL ULLMAN MUSEUM, , ,2150 15TH AVE S,BIRMINGHAM,AL,35205,35205, , , , , ,2059345634, , , , , , , , , , , , , , , ,-86.79146,33.49766,3,5,1,01,073,2150 15TH AVE S,BIRMINGHAM,AL,35205,35205,0,0,0,0,1,0,0,0, 
8400100015,GMU, , , , , ,ORANGE BEACH INDIAN AND SEA,ORANGE BEACH INDIAN AND SEA, , ,25855 JOHN M SNOOK DR,ORANGE BEACH,AL,36561,36561,25855 JOHN M SNOOK DR,ORANGE BEACH,AL,36561,36561,2519818545, , , , , , , , , , , , , , , ,-87.55306,30.27953,3,5,2,01,003,25855 JOHN M SNOOK DR,ORANGE BEACH,AL,36561,36561,0,0,0,0,1,0,0,0, 
8400100017,GMU, , , , , ,POARCH CREEK INDIAN MUSEUM,POARCH CREEK INDIAN MUSEUM, , ,5811 JACK SPRINGS ROAD,ATMORE,AL,36502,36502, , , , , ,2513689136, , , , , , , , , , , , , , , ,-87.54404,31.08927,3,5,4,01,053,5811 JACK SPRINGS ROAD,ATMORE,AL,36502,36502,0,0,1,0,0,0,0,0, 
8400100019,GMU, , , , , ,PIEDMONT MUSEUM,PIEDMONT MUSEUM, , ,N CENTER AVE,PIEDMONT,AL,36272,36272,109 N CENTER AVE,PIEDMONT,AL,36272,36272,2564476904,HTTP://WWW.PIEDMONTCITY.ORG/MUSEUM.HTM, , , , , , , , , , , , , , ,-85.61136,33.92352,3,5,3,01,015,109 N CENTER AVE,PIEDMONT,AL,36272,36272,0,0,0,0,1,0,0,0, 
